"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2021","114.80","114.15","115.45","113.55","5.20M","0.63%"
"Aug 31, 2021","114.08","114.98","115.57","113.35","5.87M","-0.87%"
"Aug 30, 2021","115.08","115.75","115.82","114.79","5.99M","-0.95%"
"Aug 27, 2021","116.18","114.65","116.18","114.51","4.81M","1.85%"
"Aug 26, 2021","114.07","115.66","116.25","114.07","6.59M","-1.78%"
"Aug 25, 2021","116.14","115.11","116.14","114.66","4.82M","0.44%"
"Aug 24, 2021","115.63","114.55","115.89","114.24","6.92M","2.28%"
"Aug 23, 2021","113.05","113.65","113.94","112.59","4.76M","-0.53%"
"Aug 20, 2021","113.65","111.49","113.87","111.37","7.58M","0.71%"
"Aug 19, 2021","112.85","110.82","113.17","110.00","12.33M","0.70%"
"Aug 18, 2021","112.06","113.06","114.36","112.06","14.24M","-1.14%"
"Aug 17, 2021","113.35","114.30","114.60","111.89","13.29M","-1.12%"
"Aug 16, 2021","114.63","116.18","116.18","114.21","9.79M","-1.66%"
"Aug 13, 2021","116.56","116.45","116.68","115.35","5.52M","0.60%"
"Aug 12, 2021","115.87","117.29","117.29","115.87","7.64M","-1.19%"
"Aug 11, 2021","117.26","117.49","118.08","116.18","5.90M","-0.26%"
"Aug 10, 2021","117.57","118.50","118.82","117.39","5.77M","-0.48%"
"Aug 09, 2021","118.14","117.79","118.92","117.58","6.10M","-0.08%"
"Aug 06, 2021","118.24","117.40","118.59","116.91","5.13M","1.12%"
"Aug 05, 2021","116.93","118.24","118.89","116.46","9.26M","-0.03%"
"Aug 04, 2021","116.96","118.21","118.51","116.38","6.48M","-1.49%"
"Aug 03, 2021","118.73","117.79","119.05","116.13","6.80M","0.96%"
"Aug 02, 2021","117.60","118.88","119.80","117.60","8.12M","0.42%"
"Jul 30, 2021","117.11","119.65","120.24","117.10","8.33M","-3.00%"
"Jul 29, 2021","120.73","121.42","121.69","120.13","3.52M","-0.59%"
"Jul 28, 2021","121.45","120.90","121.90","120.20","8.15M","1.41%"
"Jul 27, 2021","119.76","120.74","120.74","118.90","4.67M","-1.19%"
"Jul 26, 2021","121.20","120.32","121.42","120.32","3.63M","0.83%"
"Jul 23, 2021","120.20","121.33","121.36","119.62","4.07M","-1.01%"
"Jul 22, 2021","121.43","121.08","121.60","120.60","2.20M","0.26%"
"Jul 21, 2021","121.12","120.65","121.28","120.46","4.18M","0.43%"
"Jul 20, 2021","120.60","119.38","120.84","118.88","6.96M","0.72%"
"Jul 19, 2021","119.74","119.50","119.91","118.64","6.49M","-1.16%"
"Jul 16, 2021","121.15","123.01","123.14","121.04","5.64M","-1.34%"
"Jul 15, 2021","122.80","123.23","124.07","122.08","3.96M","-0.54%"
"Jul 14, 2021","123.47","124.30","124.71","123.20","6.37M","0.12%"
"Jul 13, 2021","123.32","122.20","123.50","121.61","5.54M","0.44%"
"Jul 12, 2021","122.78","121.44","122.95","121.34","3.85M","1.76%"
"Jul 08, 2021","120.66","120.03","121.13","119.55","5.49M","-1.32%"
"Jul 07, 2021","122.28","121.50","122.37","120.43","4.43M","1.65%"
