Year,"Annual changes in the earths rotation, day length (sec*10**-5) 1821-1970"
1821,217
1822,177
1823,166
1824,136
1825,110
1826,95
1827,64
1828,37
1829,14
1830,25
1831,51
1832,62
1833,73
1834,88
1835,113
1836,120
1837,83
1838,33
1839,19
1840,21
1841,17
1842,44
1843,44
1844,78
1845,88
1846,122
1847,126
1848,114
1849,85
1850,64
1851,55
1852,51
1853,40
1854,30
1855,14
1856,1
1857,1
1858,4
1859,13
1860,56
1861,83
1862,104
1863,93
1864,88
1865,75
1866,80
1867,101
1868,156
1869,226
1870,293
1871,333
1872,347
1873,329
1874,279
1875,205
1876,131
1877,86
1878,59
1879,48
1880,35
1881,30
1882,12
1883,11
1884,57
1885,92
1886,86
1887,53
1888,26
1889,6
1890,12
1891,35
1892,31
1893,0
1894,36
1895,54
1896,65
1897,104
1898,166
1899,248
1900,318
1901,384
1902,415
1903,421
1904,402
1905,392
1906,387
1907,391
1908,396
1909,400
1910,391
1911,361
1912,328
1913,296
1914,282
1915,269
1916,256
1917,225
1918,202
1919,193
1920,205
1921,201
1922,178
1923,139
1924,130
1925,101
1926,67
1927,22
1928,2
1929,12
1930,26
1931,21
1932,10
1933,11
1934,12
1935,15
1936,6
1937,22
1938,51
1939,78
1940,111
1941,141
1942,150
1943,157
1944,143
1945,138
1946,137
1947,151
1948,151
1949,136
1950,111
1951,105
1952,105
1953,110
1954,104
1955,92
1956,96
1957,115
1958,144
1959,126
1960,131
1961,112
1962,119
1963,139
1964,183
1965,206
1966,231
1967,244
1968,239
1969,263
1970,273
