"RO" "AC" "AM" "RR" "PA" "AP" "TO" "MA" "PI" "CE" "RN" "PB" "PE" "AL" "SE" "BA" "MG" "ES" "RJ" "SP" "PR" "SC" "RS" "MG.1" "MS" "GO" "DF"
112075.691666667 34649.6316666667 293759.134166667 30823.9508333333 1062369.0975 41786.1666666667 73558.2966666667 743327.71 125590.766666667 527361.655 266295.541666667 240935.451666667 661586.1225 282540.833333333 197194.961666667 1437340.60916667 3595918.61666667 594507.1525 2544600.28083333 8345775.70333333 1656075.44666667 1208186.92083333 1797715.14583333 271912.453416667 337300.256666667 670895.974166667 321535.314166667
119943.833333333 38114.8766666667 312052.636666667 31629.7408333333 1087313.90666667 46992.375 77662.0466666667 768367.179166667 134473.166666667 568640.581666667 294611.346666667 258401.954166667 708166.171666667 303320.6225 211891.591666667 1494148.27166667 3745000.57333333 633854.696666667 2685639.34166667 8658893.19833333 1706311.5875 1264295.2625 1853662.12666667 278910.221583333 360086.946666667 706012.513333333 341909.455833333
126992 42063.9 327037.085833333 31827.5658333333 1137645.23666667 50072.6041666667 80358.7633333333 844125.5175 137895.083333333 581580.243333333 311138.000833333 273256.626666667 729650.710833333 300184.233333333 221900.530833333 1521968.34916667 3797247.56333333 668526.075 2699465.43583333 9095702.79333333 1772805.2725 1310359.60666667 1891322.34583333 280644.881583333 366587.109166667 717950.274166667 359135.154166667
136150.416666667 45109.8333333333 344638 35441.1666666667 1202710.08333333 52160.1666666667 87963.1666666667 893079 145920.833333333 608235.083333333 329502.333333333 284363.5 777485.75 312233.166666667 231784.583333333 1614649.75 4135856.41666667 703694.5 2770931.25 9621615.41666667 1860931.66666667 1406651.08333333 1982115.83333333 293729.583333333 401238.583333333 755053.666666667 385923
145821 48550.25 362996.916666667 37499.8333333333 1244247.16666667 55620.25 94688.0833333333 913817.665 153584.583333333 635237.833333333 336812.083333333 301795.416666667 810837.666666667 325677.666666667 244162 1703341.33333333 4054922.41666667 716850.25 2810221.41666667 9913319.58333333 1967605.41666667 1465174.08333333 2058883.75 303228.416666667 435351.583333333 822409.75 410043.5
159479.583333333 51772.1666666667 363479.666666667 40937.75 1230604.5 59021.4166666667 101621.5 899482.25 158602.333333333 659806.833333333 343939.916666667 309541.083333333 840717.166666667 315174.166666667 255538.416666667 1654178.16666667 3757623.75 664187.583333333 2775905.725 9848530.08333333 1991991 1431678.58333333 2037019.5 317225.583333333 461693.4875 858635.066666667 437144.416666667
182048.416666667 57349.6666666667 401269.916666667 45224.6666666667 1316159.08333333 65489.5 118847 967767.916666667 185472 739668.916666667 376944.25 348421.083333333 911361.083333333 333780.583333333 274570.779166667 1795092.16666667 4276071.41666667 782171.083333333 2983433.08333333 10458716.275 2112946.58333333 1529160.36166667 2185719.35916667 334775.583333333 482140.833333333 908773.083333333 466850.5
198153.916666667 62194.3333333333 423779.333333333 48916.5833333333 1387719.75 68756 125238.75 1004396.33333333 199379.583333333 752302.916666667 381498.333333333 354721.75 940897.75 323537.583333333 289466.25 1746616.58333333 4467559.16666667 813963.583333333 3083993.75 10856848.75 2212866.66666667 1690486.58333333 2302462.33333333 358513.666666667 523168.25 975532.666666667 493162.25
235512.333333333 68498.6425 466360.5 55160.4166666667 1387340.66666667 73494.6666666667 134362.083333333 974983.083333333 227859.333333333 835384.333333333 405838.25 380835.166666667 985958.833333333 370585.083333333 301809.416666667 1817613.33333333 4450588.08333333 838336 3170794.5 11145188.1666667 2315856.51166667 1799076.5 2342619.33333333 391162.666666667 569836 1083698.16666667 515113.833333333
244202 70342.5525 497185.25 58759.75 1414334.08333333 80074.6666666667 151408.5 916599.75 240973.25 900719.666666667 434678.833333333 409191.666666667 1077925.5 398880.75 318714.083333333 1943473.91666667 4491573.66666667 874367.416666667 3289098.08333333 11353694.4166667 2419091.58333333 1867297.75 2412999.91666667 424817.166666667 625799.833333333 1134550.5 544453.25
252627.583333333 73880 522935.416666667 66805.3333333333 1533846.08333333 84551.75 162324.75 725009.5 257197.083333333 946375.166666667 455468.333333333 425280.073333333 1121545.91666667 412467.75 323443.666666667 2062081.75 4514386.25 910429.833333333 3411130.66666667 11373483.75 2532246.33333333 1982829.33333333 2553133 445446.916666667 668778.75 1186488.75 564363
249756.416666667 81206.4166666667 529768 73617.9575 1588771.49083333 88195.5833333333 172896.25 586483.166666667 274423.833333333 943810.5 459716.75 431627.833333333 1137426.58333333 409206.666666667 320562.916666667 2101658.25 4317479.83333333 917910.916666667 3377043.31333333 10901220.25 2478608.66666667 1920727.25 2433177.36 444818.833333333 676376.166666667 1229784.25 554000.083333333
244588.25 84750.4166666667 499213.75 76290.3333333333 1659666.46666667 93227.3333333333 181505.833333333 568632.166666667 281725.916666667 992820.833333333 465711.333333333 432433.666666667 1136238.83333333 406708.833333333 315294.083333333 2016896.91666667 4423012.83333333 819700.75 3329998.75 10597555.9166667 2444018.66666667 1942225.58333333 2452360.72583333 437178.583333333 669356.666666667 1232459.5 542555.583333333
