Lanчamento;Hora;Atual;Projeчуo;Prщvio
31.05.2022;09:00:00;0,105;а;0,111
29.04.2022;09:00:00;0,111;11,40%;0,112
31.03.2022;14:30:00;0,112;а;0,112
18.03.2022;09:00:00;0,112;11,40%;0,111
24.02.2022;09:00:00;0,111;а;0,116
28.01.2022;09:00:00;0,116;а;0,121
28.12.2021;09:00:00;0,121;12,30%;0,126
30.11.2021;09:00:00;0,126;12,70%;0,131
27.10.2021;09:00:00;0,132;а;0,137
30.09.2021;09:00:00;0,137;а;0,141
31.08.2021;09:00:00;0,141;а;0,146
30.07.2021;09:00:00;0,146;а;0,147
30.06.2021;09:00:00;0,147;а;0,147
27.05.2021;09:00:00;0,147;а;0,144
30.04.2021;09:00:00;0,144;14,50%;0,142
31.03.2021;09:00:00;0,142;а;0,139
26.02.2021;09:00:00;0,139;а;0,141
28.01.2021;09:00:00;0,141;а;0,143
29.12.2020;09:00:00;0,143;14,70%;0,146
27.11.2020;09:00:00;0,146;а;0,144
30.10.2020;09:00:00;0,144;14,20%;0,138
30.09.2020;09:00:00;0,138;а;0,133
28.08.2020;09:00:00;0,133;13,70%;0,133
06.08.2020;09:00:00;0,133;13,20%;0,129
30.06.2020;09:00:00;0,129;12,90%;0,126
28.05.2020;09:00:00;0,126;а;0,122
30.04.2020;09:00:00;0,122;а;0,116
31.03.2020;09:00:00;0,116;а;0,112
28.02.2020;09:00:00;0,112;а;0,11
31.01.2020;09:00:00;0,11;10,80%;0,112
27.12.2019;09:00:00;0,112;а;0,116
29.11.2019;09:00:00;0,116;а;0,118
31.10.2019;09:00:00;0,118;а;0,118
27.09.2019;09:00:00;0,118;11,50%;0,118
30.08.2019;09:00:00;0,118;а;0,12
31.07.2019;09:00:00;0,12;12,10%;0,123
28.06.2019;09:00:00;0,123;12,30%;0,125
31.05.2019;09:00:00;0,125;а;0,127
30.04.2019;09:00:00;0,127;12,80%;0,124
29.03.2019;09:00:00;0,124;а;0,12
27.02.2019;09:00:00;0,12;11,90%;0,116
31.01.2019;08:00:00;0,116;а;0,116
28.12.2018;08:00:00;0,116;11,50%;0,117
29.11.2018;08:00:00;0,117;а;0,119
30.10.2018;08:00:00;0,119;а;0,121
28.09.2018;09:00:00;0,121;а;0,123
30.08.2018;09:00:00;0,123;12,30%;0,124
31.07.2018;09:00:00;0,124;12,60%;0,127
29.06.2018;09:00:00;0,127;а;0,129
29.05.2018;09:00:00;0,129;12,90%;0,131
27.04.2018;09:00:00;0,131;13,00%;0,126
29.03.2018;09:00:00;0,126;а;0,122
28.02.2018;09:00:00;0,122;12,00%;0,118
31.01.2018;08:00:00;0,118;11,90%;0,12
29.12.2017;08:00:00;0,12;а;0,122
30.11.2017;08:00:00;0,122;12,20%;0,124
31.10.2017;08:00:00;0,124;12,50%;0,126
29.09.2017;09:00:00;0,126;12,90%;0,128
31.08.2017;09:00:00;0,128;13,20%;0,13
28.07.2017;09:00:00;0,13;13,50%;0,133
30.06.2017;09:00:00;0,133;13,80%;0,136
31.05.2017;09:00:00;0,136;13,80%;0,137
28.04.2017;09:00:00;0,137;13,80%;0,132
31.03.2017;09:00:00;0,132;13,20%;0,126
24.02.2017;08:00:00;0,126;12,50%;0,12
31.01.2017;08:00:00;0,12;12,00%;0,119
29.12.2016;08:00:00;0,119;11,90%;0,118
29.11.2016;08:00:00;0,118;11,80%;0,118
27.10.2016;09:00:00;0,118;12,00%;0,118
30.09.2016;09:00:00;0,118;11,80%;0,116
30.08.2016;09:00:00;0,116;11,50%;0,113
29.07.2016;09:00:00;0,113;11,40%;0,112
29.06.2016;09:00:00;0,112;11,40%;0,112
31.05.2016;09:00:00;0,112;11,20%;0,109
29.04.2016;09:30:00;0,109;а;0,082
23.03.2016 (Fev);09:00:00;0,082;8,10%;0,076
25.02.2016 (Jan);09:00:00;0,076;8,00%;0,069
28.01.2016 (Dez);08:00:00;0,069;7,40%;0,075
17.12.2015 (Nov);08:00:00;0,075;8,00%;0,079
19.11.2015 (Out);08:00:00;0,079;7,60%;0,076
22.10.2015 (Set);08:00:00;0,076;7,80%;0,076
24.09.2015 (Ago);09:00:00;0,076;7,70%;0,075
20.08.2015 (Jul);09:00:00;0,075;7,10%;0,069
23.07.2015 (Jun);09:00:00;0,069;6,90%;0,067
25.06.2015 (Mai);09:00:00;0,067;6,60%;0,064
21.05.2015 (Abr);09:30:00;0,064;6,30%;0,062
28.04.2015 (Mar);09:00:00;0,062;6,20%;0,059
26.03.2015 (Fev);09:00:00;0,059;5,70%;0,053
26.02.2015 (Jan);09:00:00;0,053;5,00%;0,043
29.01.2015 (Dez);08:00:00;0,043;4,60%;0,048
19.12.2014 (Nov);08:00:00;0,048;4,50%;0,047
19.11.2014 (Out);08:00:00;0,047;4,90%;0,049
23.10.2014 (Set);08:00:00;0,049;5,10%;0,05
25.09.2014 (Ago);09:00:00;0,05;4,90%;0,049
