Date;Value;Intraday;Month;Day;Year
10/01/2001;1;14;1;10;2001
25/01/2001;270;5;1;25;2001
31/01/2001;617;7;1;31;2001
08/02/2001;900;3;2;8;2001
12/02/2001;1000;22;2;12;2001
07/03/2001;1323;16;3;7;2001
24/03/2001;1910;5;3;24;2001
30/03/2001;2221;27;3;30;2001
27/04/2001;3281;12;4;27;2001
10/05/2001;3969;9;5;10;2001
20/05/2001;4985;48;5;20;2001
08/07/2001;6000;17;7;8;2001
26/07/2001;6947;0;7;26;2001
27/07/2001;7243;10;7;27;2001
07/08/2001;8000;14;8;7;2001
22/08/2001;9043;15;8;22;2001
07/09/2001;10000;1;9;7;2001
09/09/2001;11208;9;9;9;2001
19/09/2001;12502;14;9;19;2001
04/10/2001;13182;14;10;4;2001
19/10/2001;14000;5;10;19;2001
25/10/2001;15053;11;10;25;2001
06/11/2001;16000;30;11;6;2001
07/12/2001;18000;6;12;7;2001
14/12/2001;19000;25;12;14;2001
09/01/2002;20000;25;1;9;2002
04/02/2002;23000;51;2;4;2002
28/03/2002;30000;18;3;28;2002
16/04/2002;32000;30;4;16;2002
17/05/2002;33333;86;5;17;2002
12/08/2002;37259;1;8;12;2002
14/08/2002;37508;7;8;14;2002
22/08/2002;38780;8;8;22;2002
31/08/2002;40093;2;8;31;2002
03/09/2002;40718;0;9;3;2002
04/09/2002;40934;0;9;4;2002
05/09/2002;41141;1;9;5;2002
07/09/2002;41559;1;9;7;2002
09/09/2002;42021;0;9;9;2002
10/09/2002;42268;5;9;10;2002
16/09/2002;43762;0;9;16;2002
17/09/2002;43962;3;9;17;2002
21/09/2002;44920;0;9;21;2002
22/09/2002;45159;0;9;22;2002
23/09/2002;45462;0;9;23;2002
24/09/2002;45707;0;9;24;2002
25/09/2002;46133;0;9;25;2002
26/09/2002;47152;0;9;26;2002
27/09/2002;47448;2;9;27;2002
30/09/2002;49724;2;9;30;2002
03/10/2002;50804;0;10;3;2002
04/10/2002;50953;3;10;4;2002
08/10/2002;52092;1;10;8;2002
10/10/2002;52435;0;10;10;2002
11/10/2002;52571;2;10;11;2002
14/10/2002;53174;2;10;14;2002
17/10/2002;54339;1;10;17;2002
19/10/2002;61128;0;10;19;2002
20/10/2002;66372;0;10;20;2002
21/10/2002;66738;0;10;21;2002
22/10/2002;74005;0;10;22;2002
23/10/2002;76958;0;10;23;2002
24/10/2002;80887;0;10;24;2002
25/10/2002;87037;0;10;25;2002
26/10/2002;87206;0;10;26;2002
27/10/2002;87285;2;10;27;2002
30/10/2002;88292;1;10;30;2002
01/11/2002;88597;4;11;1;2002
06/11/2002;89375;0;11;6;2002
07/11/2002;90003;1;11;7;2002
09/11/2002;90266;8;11;9;2002
18/11/2002;90905;3;11;18;2002
22/11/2002;91580;2;11;22;2002
25/11/2002;92777;1;11;25;2002
27/11/2002;93263;3;11;27;2002
01/12/2002;93880;2;12;1;2002
04/12/2002;94165;5;12;4;2002
10/12/2002;93301;-1;12;10;2002
10/12/2002;100046;2;12;10;2002
13/12/2002;93834;2;12;13;2002
16/12/2002;94497;6;12;16;2002
